turne,ano,cidade_fonte,data_show_fonte,musica,fonte_url
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Biker Like an Icon,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,"Here, There and Everywhere",https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Yesterday,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,My Love,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Lady Madonna,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,C'mon People,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Magical Mystery Tour,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Let It Be,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Live and Let Die,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Paperback Writer,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Back in the U.S.S.R.,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Penny Lane,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Sgt. Pepper's Lonely Hearts Club Band,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Band on the Run,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,I Saw Her Standing There,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Hey Jude,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,"Hello, Goodbye",https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Jet,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,All My Loving,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Getting Better,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Coming Up,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Let Me Roll It,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Lonely Road,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Driving Rain,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Your Loving Flame,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Blackbird,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Every Night,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,We Can Work It Out,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Mother Nature's Son,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Vanilla Sky,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,You Never Give Me Your Money,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,The Fool on the Hill,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Here Today,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Something,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Eleanor Rigby,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,"Here, There and Everywhere",https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Band on the Run,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Back in the U.S.S.R.,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Maybe I'm Amazed,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
